"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"3780","100072 (3780)","3662","100023 (3662)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",586,369,928
"3780","100072 (3780)","3663","100515 (3663)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1229,956,1578
"3780","100072 (3780)","3664","100022 (3664)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",486,315,748
"3780","100072 (3780)","3665","10009C (3665)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",468,300,729
"3780","100072 (3780)","3666","100571 (3666)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",603,428,849
"3780","100072 (3780)","3667","100082 (3667)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",313,201,486
"3780","100072 (3780)","3668","100213 (3668)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",483,326,715
"3780","100072 (3780)","3669","100029 (3669)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",568,325,990
"3780","100072 (3780)","3670","100021 (3670)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",445,285,692
"3780","100072 (3780)","3671","100512 (3671)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1020,765,1359
"3780","100072 (3780)","3672","100197 (3672)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",367,224,599
"3780","100072 (3780)","3674","10002A (3674)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",661,392,1112
"3780","100072 (3780)","3675","100573 (3675)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",682,483,962
"3780","100072 (3780)","3676","10002B (3676)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",606,357,1026
"3780","100072 (3780)","3678","10002C (3678)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",598,382,934
"3780","100072 (3780)","3679","100103 (3679)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",559,356,877
"3780","100072 (3780)","3681","100491 (3681)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1190,937,1510
"3780","100072 (3780)","3682","100196 (3682)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",304,191,483
"3780","100072 (3780)","3683","100081 (3683)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",389,239,632
"3780","100072 (3780)","3684","10009B (3684)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",609,391,946
"3780","100072 (3780)","3685","100574 (3685)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",732,529,1012
"3780","100072 (3780)","3686","10002D (3686)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",494,314,776
"3780","100072 (3780)","3688","10002F (3688)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",531,322,873
"3780","100072 (3780)","3690","100201 (3690)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",464,307,700
"3780","100072 (3780)","3691","406613 (3691)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",1544,1111,2145
"3780","100072 (3780)","3692","100084 (3692)","3/1/2018 - 3/31/2018, Weekdays, Daily Average",259,155,432
